ligand_SMILES,nucleophile_SMILES,electrophile_SMILES,base_SMILES,solvent_SMILES
C1=CC=C(C=C1)P(CCP(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4,CN1C2=CC=CC(B(O)O)=C2C=N1,ClC1=CC=C(N=CC=C2)C2=C1,O=C([O-])[O-].[K+].[K+],C1COCCO1
C1=CC=C(C=C1)P(CCP(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4,CN1C2=CC=CC(B(O)O)=C2C=N1,BrC1=CC=C(N=CC=C2)C2=C1,O=C([O-])[O-].[K+].[K+],C1COCCO1
C1=CC=C(C=C1)P(CCP(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4,CN1C2=CC=CC(B(O)O)=C2C=N1,IC1=CC=C(N=CC=C2)C2=C1,O=C([O-])[O-].[K+].[K+],C1COCCO1
C1=CC=C(C=C1)P(CCP(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4,CN1C2=CC=CC(B3OC(C)(C)C(C)(C)O3)=C2C=N1,ClC1=CC=C(N=CC=C2)C2=C1,O=C([O-])[O-].[K+].[K+],C1COCCO1
C1=CC=C(C=C1)P(CCP(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4,CN1C2=CC=CC(B3OC(C)(C)C(C)(C)O3)=C2C=N1,BrC1=CC=C(N=CC=C2)C2=C1,O=C([O-])[O-].[K+].[K+],C1COCCO1
C1=CC=C(C=C1)P(CCP(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4,CN1C2=CC=CC(B3OC(C)(C)C(C)(C)O3)=C2C=N1,IC1=CC=C(N=CC=C2)C2=C1,O=C([O-])[O-].[K+].[K+],C1COCCO1
C1=CC=C(C=C1)P(CCP(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4,CC(C(C)(C)O1)(C)OB1C2=CC=C(N=CC=C3)C3=C2,CN1C2=CC=CC(Cl)=C2C=N1,O=C([O-])[O-].[K+].[K+],C1COCCO1
C1=CC=C(C=C1)P(CCP(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4,CC(C(C)(C)O1)(C)OB1C2=CC=C(N=CC=C3)C3=C2,CN1C2=CC=CC(Br)=C2C=N1,O=C([O-])[O-].[K+].[K+],C1COCCO1
C1=CC=C(C=C1)P(CCP(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4,OB(O)C1=CC=C(N=CC=C2)C2=C1,CN1C2=CC=CC(Cl)=C2C=N1,O=C([O-])[O-].[K+].[K+],C1COCCO1
C1=CC=C(C=C1)P(CCP(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4,OB(O)C1=CC=C(N=CC=C2)C2=C1,CN1C2=CC=CC(Br)=C2C=N1,O=C([O-])[O-].[K+].[K+],C1COCCO1
CC1(C)C2=C(OC3=C1C=CC=C3P(C4=CC=CC=C4)C5=CC=CC=C5)C(P(C6=CC=CC=C6)C7=CC=CC=C7)=CC=C2,CN1C2=CC=CC(B(O)O)=C2C=N1,ClC1=CC=C(N=CC=C2)C2=C1,O=C([O-])[O-].[K+].[K+],C1COCCO1
CC1(C)C2=C(OC3=C1C=CC=C3P(C4=CC=CC=C4)C5=CC=CC=C5)C(P(C6=CC=CC=C6)C7=CC=CC=C7)=CC=C2,CN1C2=CC=CC(B(O)O)=C2C=N1,BrC1=CC=C(N=CC=C2)C2=C1,O=C([O-])[O-].[K+].[K+],C1COCCO1
CC1(C)C2=C(OC3=C1C=CC=C3P(C4=CC=CC=C4)C5=CC=CC=C5)C(P(C6=CC=CC=C6)C7=CC=CC=C7)=CC=C2,CN1C2=CC=CC(B(O)O)=C2C=N1,IC1=CC=C(N=CC=C2)C2=C1,O=C([O-])[O-].[K+].[K+],C1COCCO1
CC1(C)C2=C(OC3=C1C=CC=C3P(C4=CC=CC=C4)C5=CC=CC=C5)C(P(C6=CC=CC=C6)C7=CC=CC=C7)=CC=C2,CN1C2=CC=CC(B3OC(C)(C)C(C)(C)O3)=C2C=N1,ClC1=CC=C(N=CC=C2)C2=C1,O=C([O-])[O-].[K+].[K+],C1COCCO1
CC1(C)C2=C(OC3=C1C=CC=C3P(C4=CC=CC=C4)C5=CC=CC=C5)C(P(C6=CC=CC=C6)C7=CC=CC=C7)=CC=C2,CN1C2=CC=CC(B3OC(C)(C)C(C)(C)O3)=C2C=N1,BrC1=CC=C(N=CC=C2)C2=C1,O=C([O-])[O-].[K+].[K+],C1COCCO1
CC1(C)C2=C(OC3=C1C=CC=C3P(C4=CC=CC=C4)C5=CC=CC=C5)C(P(C6=CC=CC=C6)C7=CC=CC=C7)=CC=C2,CN1C2=CC=CC(B3OC(C)(C)C(C)(C)O3)=C2C=N1,IC1=CC=C(N=CC=C2)C2=C1,O=C([O-])[O-].[K+].[K+],C1COCCO1
CC1(C)C2=C(OC3=C1C=CC=C3P(C4=CC=CC=C4)C5=CC=CC=C5)C(P(C6=CC=CC=C6)C7=CC=CC=C7)=CC=C2,CC(C(C)(C)O1)(C)OB1C2=CC=C(N=CC=C3)C3=C2,CN1C2=CC=CC(Cl)=C2C=N1,O=C([O-])[O-].[K+].[K+],C1COCCO1
CC1(C)C2=C(OC3=C1C=CC=C3P(C4=CC=CC=C4)C5=CC=CC=C5)C(P(C6=CC=CC=C6)C7=CC=CC=C7)=CC=C2,CC(C(C)(C)O1)(C)OB1C2=CC=C(N=CC=C3)C3=C2,CN1C2=CC=CC(Br)=C2C=N1,O=C([O-])[O-].[K+].[K+],C1COCCO1
CC1(C)C2=C(OC3=C1C=CC=C3P(C4=CC=CC=C4)C5=CC=CC=C5)C(P(C6=CC=CC=C6)C7=CC=CC=C7)=CC=C2,OB(O)C1=CC=C(N=CC=C2)C2=C1,CN1C2=CC=CC(Cl)=C2C=N1,O=C([O-])[O-].[K+].[K+],C1COCCO1
CC1(C)C2=C(OC3=C1C=CC=C3P(C4=CC=CC=C4)C5=CC=CC=C5)C(P(C6=CC=CC=C6)C7=CC=CC=C7)=CC=C2,OB(O)C1=CC=C(N=CC=C2)C2=C1,CN1C2=CC=CC(Br)=C2C=N1,O=C([O-])[O-].[K+].[K+],C1COCCO1
CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,CN1C2=CC=CC(B(O)O)=C2C=N1,ClC1=CC=C(N=CC=C2)C2=C1,O=C([O-])[O-].[K+].[K+],C1COCCO1
CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,CN1C2=CC=CC(B(O)O)=C2C=N1,BrC1=CC=C(N=CC=C2)C2=C1,O=C([O-])[O-].[K+].[K+],C1COCCO1
CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,CN1C2=CC=CC(B(O)O)=C2C=N1,IC1=CC=C(N=CC=C2)C2=C1,O=C([O-])[O-].[K+].[K+],C1COCCO1
CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,CN1C2=CC=CC(B3OC(C)(C)C(C)(C)O3)=C2C=N1,ClC1=CC=C(N=CC=C2)C2=C1,O=C([O-])[O-].[K+].[K+],C1COCCO1
CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,CN1C2=CC=CC(B3OC(C)(C)C(C)(C)O3)=C2C=N1,BrC1=CC=C(N=CC=C2)C2=C1,O=C([O-])[O-].[K+].[K+],C1COCCO1
CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,CN1C2=CC=CC(B3OC(C)(C)C(C)(C)O3)=C2C=N1,IC1=CC=C(N=CC=C2)C2=C1,O=C([O-])[O-].[K+].[K+],C1COCCO1
CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,CC(C(C)(C)O1)(C)OB1C2=CC=C(N=CC=C3)C3=C2,CN1C2=CC=CC(Cl)=C2C=N1,O=C([O-])[O-].[K+].[K+],C1COCCO1
CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,CC(C(C)(C)O1)(C)OB1C2=CC=C(N=CC=C3)C3=C2,CN1C2=CC=CC(Br)=C2C=N1,O=C([O-])[O-].[K+].[K+],C1COCCO1
CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,OB(O)C1=CC=C(N=CC=C2)C2=C1,CN1C2=CC=CC(Cl)=C2C=N1,O=C([O-])[O-].[K+].[K+],C1COCCO1
CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,OB(O)C1=CC=C(N=CC=C2)C2=C1,CN1C2=CC=CC(Br)=C2C=N1,O=C([O-])[O-].[K+].[K+],C1COCCO1
C1(P(CCCP(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4)=CC=CC=C1,CN1C2=CC=CC(B(O)O)=C2C=N1,ClC1=CC=C(N=CC=C2)C2=C1,O=C([O-])[O-].[K+].[K+],C1COCCO1
C1(P(CCCP(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4)=CC=CC=C1,CN1C2=CC=CC(B(O)O)=C2C=N1,BrC1=CC=C(N=CC=C2)C2=C1,O=C([O-])[O-].[K+].[K+],C1COCCO1
C1(P(CCCP(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4)=CC=CC=C1,CN1C2=CC=CC(B(O)O)=C2C=N1,IC1=CC=C(N=CC=C2)C2=C1,O=C([O-])[O-].[K+].[K+],C1COCCO1
C1(P(CCCP(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4)=CC=CC=C1,CN1C2=CC=CC(B3OC(C)(C)C(C)(C)O3)=C2C=N1,ClC1=CC=C(N=CC=C2)C2=C1,O=C([O-])[O-].[K+].[K+],C1COCCO1
C1(P(CCCP(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4)=CC=CC=C1,CN1C2=CC=CC(B3OC(C)(C)C(C)(C)O3)=C2C=N1,BrC1=CC=C(N=CC=C2)C2=C1,O=C([O-])[O-].[K+].[K+],C1COCCO1
C1(P(CCCP(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4)=CC=CC=C1,CN1C2=CC=CC(B3OC(C)(C)C(C)(C)O3)=C2C=N1,IC1=CC=C(N=CC=C2)C2=C1,O=C([O-])[O-].[K+].[K+],C1COCCO1
C1(P(CCCP(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4)=CC=CC=C1,CC(C(C)(C)O1)(C)OB1C2=CC=C(N=CC=C3)C3=C2,CN1C2=CC=CC(Cl)=C2C=N1,O=C([O-])[O-].[K+].[K+],C1COCCO1
C1(P(CCCP(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4)=CC=CC=C1,CC(C(C)(C)O1)(C)OB1C2=CC=C(N=CC=C3)C3=C2,CN1C2=CC=CC(Br)=C2C=N1,O=C([O-])[O-].[K+].[K+],C1COCCO1
C1(P(CCCP(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4)=CC=CC=C1,OB(O)C1=CC=C(N=CC=C2)C2=C1,CN1C2=CC=CC(Cl)=C2C=N1,O=C([O-])[O-].[K+].[K+],C1COCCO1
